iter	Passed	Remaining
550	41614	33910
551	41701	33844
552	41796	33784
553	41870	33707
554	41942	33629
555	42015	33552
556	42082	33469
557	42152	33389
558	42228	33314
559	42296	33233
560	42364	33151
561	42435	33072
562	42510	32996
563	42589	32923
564	42667	32850
565	42740	32772
566	42806	32689
567	42886	32617
568	42948	32532
569	43023	32456
570	43093	32376
571	43163	32297
572	43229	32214
573	43290	32128
574	43357	32046
575	43427	31967
576	43791	32103
577	43904	32054
578	44010	32000
579	44076	31917
580	44137	31830
581	44522	31976
582	44610	31908
583	44671	31820
584	44727	31729
585	44829	31671
586	44890	31583
587	44949	31495
588	45008	31406
589	45077	31324
590	45142	31240
591	45209	31157
592	45278	31076
593	45356	31001
594	45438	30928
595	45509	30849
596	45584	30771
597	45652	30689
598	45722	30609
599	45787	30525
600	45856	30444
601	45920	30359
602	46023	30300
603	46093	30220
604	46164	30140
605	46223	30052
606	46296	29974
607	46365	29893
608	46437	29814
609	46506	29733
610	46587	29660
611	46652	29576
612	46716	29492
613	46787	29413
614	46859	29334
615	46928	29254
616	47001	29175
617	47113	29122
618	47175	29037
619	47233	28949
620	47306	28871
621	47377	28792
622	47445	28710
623	47513	28629
624	47576	28545
625	47638	28461
626	47706	28380
627	47791	28309
628	47858	28227
629	47926	28147
630	48003	28071
631	48064	27986
632	48128	27903
633	48195	27822
634	48264	27742
635	48335	27663
636	48406	27584
637	48478	27506
638	48542	27424
639	48610	27343
640	48686	27267
641	48753	27186
642	48826	27109
643	48895	27029
644	48959	26946
645	49023	26864
646	49085	26780
647	49154	26700
648	49231	26625
649	49302	26547
650	49377	26471
651	49445	26391
652	49521	26315
653	49597	26239
654	49669	26161
655	49765	26096
656	49824	26012
657	49888	25929
658	49955	25849
659	50027	25771
660	50097	25692
661	50164	25612
662	50249	25541
663	50349	25478
664	50415	25397
665	50484	25317
666	50562	25243
667	50626	25161
668	50690	25080
669	50770	25006
670	51192	25100
671	51272	25025
672	51345	24948
673	51414	24867
674	51486	24789
675	51556	24710
676	51641	24638
677	51695	24551
678	51763	24471
679	51833	24392
680	52154	24430
681	52232	24354
682	52295	24271
683	52749	24369
684	52849	24302
685	52907	24217
686	52995	24144
687	53110	24085
688	53176	24002
689	53241	23920
690	53320	23843
691	53389	23763
692	53506	23703
693	53579	23624
694	53653	23545
695	53718	23463
696	53788	23382
697	53858	23302
698	53930	23223
699	53998	23142
700	54069	23062
701	54140	22982
702	54213	22903
703	54295	22828
704	54361	22746
705	54429	22666
706	54494	22583
707	54611	22523
708	54688	22446
709	54760	22366
710	54827	22285
711	54892	22203
712	54952	22119
713	55015	22036
714	55077	21954
715	55142	21872
716	55219	21795
717	55312	21724
718	55410	21655
719	55496	21581
720	55565	21501
721	55624	21417
722	55684	21333
723	55744	21250
724	55806	21167
725	55880	21089
726	55961	21014
727	56024	20932
728	56090	20851
729	56162	20772
730	56242	20696
731	56323	20621
732	56391	20540
733	56459	20460
734	56525	20379
735	56692	20335
736	56753	20252
737	56820	20172
738	56890	20092
739	56952	20010
740	57010	19926
741	57071	19844
742	57126	19759
743	57233	19693
744	57304	19614
745	57361	19530
746	57425	19449
747	57489	19368
748	57551	19286
749	57611	19203
750	57669	19120
751	57743	19043
752	57814	18964
753	57885	18885
754	57951	18805
755	58019	18725
756	58085	18645
757	58156	18567
758	58224	18487
759	58291	18407
760	58350	18325
761	58418	18246
762	58489	18167
763	58549	18085
764	58608	18004
765	58667	17921
766	58724	17839
767	58785	17758
768	58847	17677
769	58905	17595
770	58963	17513
771	59023	17431
772	59081	17349
773	59147	17270
774	59204	17188
775	59292	17115
776	59387	17044
777	59462	16967
778	59528	16888
779	59597	16809
780	59662	16729
781	59721	16648
782	59820	16578
783	59882	16498
784	59947	16418
785	60028	16343
786	60089	16263
787	60160	16185
788	60222	16105
789	60285	16025
790	60356	15947
791	60418	15867
792	60477	15786
793	60544	15707
794	60612	15629
795	60687	15553
796	60749	15473
797	60818	15395
798	60901	15320
799	60983	15245
800	61065	15171
801	61134	15093
802	61194	15012
803	61252	14932
804	61312	14852
805	61372	14772
806	61441	14694
807	61520	14618
808	61582	14539
809	61650	14461
810	61723	14384
811	61779	14303
812	61845	14225
813	61927	14150
814	61992	14071
815	62049	13991
816	62139	13918
817	62206	13840
818	62264	13760
819	62337	13683
820	62403	13605
821	62465	13526
822	62526	13447
823	62595	13369
824	62657	13291
825	62738	13216
826	62822	13141
827	62893	13064
828	62967	12988
829	63047	12913
830	63112	12835
831	63182	12757
832	63253	12681
833	63319	12603
834	63383	12524
835	63445	12446
836	63501	12366
837	63569	12289
838	63631	12210
839	63693	12132
840	63751	12052
841	63808	11973
842	63864	11894
843	63923	11815
844	63998	11739
845	64065	11662
846	64126	11583
847	64180	11504
848	64236	11424
849	64292	11345
850	64355	11267
851	64420	11190
852	64492	11114
853	64555	11036
854	64653	10964
855	64714	10886
856	64770	10807
857	64825	10728
858	64882	10650
859	64949	10573
860	65024	10497
861	65089	10420
862	65162	10344
863	65237	10268
864	65295	10190
865	65352	10112
866	65407	10033
867	65463	9955
868	65533	9879
869	65616	9804
870	65695	9729
871	65748	9651
872	65805	9573
873	65864	9495
874	65931	9418
875	65995	9341
876	66051	9263
877	66111	9186
878	66167	9108
879	66236	9032
880	66297	8955
881	66350	8876
882	66411	8799
883	66466	8721
884	66527	8644
885	66594	8568
886	66655	8491
887	66712	8414
888	66769	8336
889	66839	8261
890	66898	8184
891	66963	8107
892	67068	8036
893	67127	7959
894	67189	7882
895	67246	7805
896	67307	7728
897	67364	7651
898	67419	7574
899	67490	7498
900	67557	7423
901	67631	7347
902	67701	7272
903	67778	7197
904	67836	7120
905	67895	7044
906	67949	6967
907	68002	6890
908	68059	6813
909	68133	6738
910	68204	6663
911	68262	6586
912	68318	6510
913	68375	6433
914	68432	6357
915	68492	6280
916	68546	6204
917	68605	6128
918	68662	6051
919	68723	5975
920	68781	5899
921	68838	5823
922	68897	5747
923	68955	5671
924	69009	5595
925	69062	5518
926	69115	5442
927	69176	5367
928	69237	5291
929	69295	5215
930	69359	5140
931	69422	5065
932	69477	4989
933	69540	4913
934	69610	4839
935	69710	4766
936	69775	4691
937	69848	4616
938	69922	4542
939	69986	4467
940	70046	4391
941	70104	4316
942	70165	4241
943	70236	4166
944	70306	4091
945	70652	4033
946	70724	3958
947	70785	3882
948	70855	3807
949	70931	3733
950	70996	3658
951	71055	3582
952	71119	3507
953	71179	3432
954	71239	3356
955	71304	3281
956	71366	3206
957	71428	3131
958	71492	3056
959	71579	2982
960	71653	2907
961	71714	2832
962	71774	2757
963	71833	2682
964	71892	2607
965	71951	2532
966	72010	2457
967	72068	2382
968	72130	2307
969	72191	2232
970	72251	2157
971	72312	2083
972	72375	2008
973	72437	1933
974	72499	1858
975	72565	1784
976	72642	1710
977	72714	1635
978	72775	1561
979	72841	1486
980	72914	1412
981	72981	1337
982	73038	1263
983	73106	1188
984	73177	1114
985	73243	1039
986	73308	965
987	73373	891
988	73431	816
989	73506	742
990	73613	668
991	73685	594
992	73765	520
993	73834	445
994	73900	371
995	73970	297
996	74038	222
997	74099	148
998	74177	74
999	74236	0
