iter	Logloss
0	0.600617631
1	0.5121751557
2	0.4422659154
3	0.3877673241
4	0.3437251375
5	0.3088607097
6	0.2786099309
7	0.2518316019
8	0.2292075838
9	0.2089079852
10	0.1934459085
11	0.1805833746
12	0.1699587381
13	0.159721673
14	0.1512331464
15	0.1432949876
16	0.1371530643
17	0.1319247182
18	0.1274884229
19	0.1238132131
20	0.1191632398
21	0.1152697483
22	0.1102230134
23	0.1073231019
24	0.1046923167
25	0.102224001
26	0.09953590451
27	0.09777131399
28	0.09604563823
29	0.09469044808
30	0.09266305764
31	0.09118616026
32	0.08987779547
33	0.08809819632
34	0.08700676112
35	0.08593925502
36	0.08478519311
37	0.08403040594
38	0.08261011707
39	0.08078644798
40	0.08018219108
41	0.07913403878
42	0.07840375479
43	0.07706540312
44	0.0763329533
45	0.07491528948
46	0.07283043827
47	0.0721943851
48	0.07122813011
49	0.07067524394
50	0.06997631993
51	0.06856137498
52	0.0682089238
53	0.06746219685
54	0.06690516797
55	0.06608284356
56	0.06578325055
57	0.06525560674
58	0.06485083939
59	0.06432913157
60	0.06397568196
61	0.06346266852
62	0.06305978151
63	0.06262802406
64	0.06199789466
65	0.0616716632
66	0.06112053588
67	0.06062963768
68	0.06042848312
69	0.05988711315
70	0.05932876304
71	0.05893640478
72	0.05856897335
73	0.058241643
74	0.05796151403
75	0.05754424484
76	0.05616590374
77	0.05570804425
78	0.05553378023
79	0.05512963789
80	0.0547769463
81	0.05430714129
82	0.05402134086
83	0.05353757843
84	0.05329237094
85	0.05309319645
86	0.05248904005
87	0.05188989053
88	0.05136370829
89	0.05110673276
90	0.05087046792
91	0.05067716562
92	0.05053349024
93	0.05030239058
94	0.0499897115
95	0.0491360171
96	0.04857132968
97	0.04829659684
98	0.04793962117
99	0.04754934801
100	0.04727117317
101	0.04700142761
102	0.0464787269
103	0.04612949486
104	0.04581509667
105	0.04564409086
106	0.04543760206
107	0.04526783845
108	0.04507513963
109	0.04462471011
110	0.04450494433
111	0.04424177902
112	0.04387719752
113	0.04374271073
114	0.04352736715
115	0.04344777386
116	0.04307515695
117	0.04278808202
118	0.04248445826
119	0.04229587757
120	0.04186011312
121	0.04161381152
122	0.0413670476
123	0.04127316306
124	0.04108658758
125	0.04087433139
126	0.04079021747
127	0.04072725875
128	0.04064162764
129	0.04048093408
130	0.0403841952
131	0.03984060113
132	0.0396325789
133	0.03945980957
134	0.03923785944
135	0.03906791115
136	0.03905481117
137	0.03900765641
138	0.03876192765
139	0.0386253032
140	0.03854294769
141	0.03840476091
142	0.03826842395
143	0.03820427418
144	0.03798464652
145	0.0377044028
146	0.03724295785
147	0.03713680725
148	0.03704012017
149	0.03694047656
150	0.03673524131
151	0.03667483161
152	0.0365747161
153	0.03648020474
154	0.0361203843
155	0.03586770336
156	0.03570468824
157	0.03559362963
158	0.03541214779
159	0.03528431152
160	0.03508051448
161	0.03487469655
162	0.03466921198
163	0.03451954245
164	0.03443360352
165	0.0343615051
166	0.03427488842
167	0.03410417356
168	0.03400755896
169	0.03377261497
170	0.03365156288
171	0.03338406374
172	0.03328601485
173	0.03325069313
174	0.03289598924
175	0.0327975359
176	0.03261902519
177	0.03255245285
178	0.03241418526
179	0.03227629946
180	0.03217099061
181	0.03198928621
182	0.031845632
183	0.03168403408
184	0.03133993903
185	0.03121681686
186	0.03112571505
187	0.03093404165
188	0.03076463618
189	0.03071670616
190	0.03062377109
191	0.03058156028
192	0.03040560067
193	0.03017647139
194	0.03009967886
195	0.03004085412
196	0.02994940068
197	0.02991633596
198	0.02985960983
199	0.02977480174
200	0.02975913758
201	0.02964514602
202	0.02952350959
203	0.02942959407
204	0.02930890085
205	0.02916164319
206	0.02900045979
207	0.02887830459
208	0.0288330713
209	0.02872856417
210	0.02869601459
211	0.0285397511
212	0.02844829124
213	0.02840290939
214	0.02834102217
215	0.0282631577
216	0.02807663038
217	0.02798922955
218	0.0278664986
219	0.02769067477
220	0.02755789046
221	0.02740642916
222	0.02732064072
223	0.02724550915
224	0.02712328059
225	0.02699445076
226	0.02676247479
227	0.02664229093
228	0.02660915218
229	0.02649406238
230	0.02631803283
231	0.02625856274
232	0.02614090307
233	0.02603709838
234	0.02603149758
235	0.02596713777
236	0.02590215635
237	0.02579333334
238	0.02572020892
239	0.0256179136
240	0.0253730103
241	0.02529764852
242	0.02517577303
243	0.0250747855
244	0.02498955288
245	0.02485024755
246	0.02471874534
247	0.02467363484
248	0.02463129676
249	0.0244960695
250	0.02442991217
251	0.02428815463
252	0.02416005312
253	0.02407676103
254	0.0238428993
255	0.02376852688
256	0.02362981517
257	0.02355292009
258	0.02349254272
259	0.02333425135
260	0.02329082385
261	0.02322075605
262	0.02317127236
263	0.02304531777
264	0.02298997108
265	0.02281532654
266	0.0226863537
267	0.02259960287
268	0.02249173008
269	0.02246316862
270	0.02240543525
271	0.0223846731
272	0.02232467143
273	0.02217578196
274	0.02212234557
275	0.02198690064
276	0.02184295339
277	0.02176587527
278	0.02172256833
279	0.0216864762
280	0.02157196824
281	0.02150907985
282	0.02140029891
283	0.0213867722
284	0.0213327122
285	0.02130806133
286	0.02124032747
287	0.02114659051
288	0.02106892158
289	0.02098683074
290	0.02084882592
291	0.02081313135
292	0.02074623636
293	0.02072402583
294	0.02071131561
295	0.02067665096
296	0.0206654066
297	0.02059224339
298	0.02055387069
299	0.02045772234
300	0.0204240958
301	0.02037826387
302	0.02028878736
303	0.02027056918
304	0.02008899596
305	0.02001570092
306	0.01998954415
307	0.01993820694
308	0.01989003108
309	0.01988998102
310	0.01986708954
311	0.01980020129
312	0.019768107
313	0.01973286823
314	0.01969829201
315	0.01967767281
316	0.01960087998
317	0.01956837777
318	0.01951368503
319	0.01944540628
320	0.01939967241
321	0.01936856544
322	0.01936465665
323	0.01934275557
324	0.01923776924
325	0.01918648124
326	0.01914615057
327	0.01908178936
